id,budget,revenue,title,imdb_id,release_date,gross,budget_new,budget_final,opening_weekend,cum_worldwide,revenue_final
70805,450,288,Sunday,tt0120244,1997-08-27,"{'Budget': '$450,000 (estimated)', 'Opening Weekend United States': '$25,682, 24 Aug 1997'}",450000,450000,25682,288,25682
19797,20000000,344,I Think I Do,tt0125209,1998-04-10,"{'Opening Weekend United States': '$33,633, 12 Apr 1998'}",20000000,20000000,33633,344,33633
269795,20000000,422,2:22,tt1131724,2017-06-29,"{'Cumulative Worldwide Gross': '$4,600,000, 22 Feb 2018'}",20000000,20000000,422,4600000 22 Feb 2018,4600000
396109,20000000,500,Gary Gulman: It's About Time,tt5661030,2016-05-01,None,20000000,20000000,500,500,
94204,20000000,525,Meeting Evil,tt1810697,2012-05-03,"{'Opening Weekend United States': '$181, 06 May 2012'}",20000000,20000000,181,525,525
108923,337,551,The Mysterious Lady,tt0019195,1928-08-04,"{'Budget': '$337,000 (estimated)', 'Cumulative Worldwide Gross': '$551,000'}",337000,337000,551,551000,551000
22596,20000000,623,Safety Last!,tt0014429,1923-04-01,"{'Budget': '$121,000 (estimated)'}",121000,121000,623,623,
207768,20000000,809,I Spit on Your Grave 2,tt2537176,2013-08-25,"{'Opening Weekend United States': '$441, 22 Sep 2013'}",20000000,20000000,441,809,678604
53863,280,831,Star of Midnight,tt0027040,1935-04-19,"{'Budget': '$280,000 (estimated)'}",280000,280000,831,831,
101176,20000000,1081,The Butterfly Room,tt1612782,2012-08-04,None,20000000,20000000,1081,1081,1081
59435,20000000,1279,An Invisible Sign,tt1212454,2010-10-06,"{'Opening Weekend United States': '$854, 05 May 2011'}",20000000,20000000,854,1279,51138
59296,1,1378,"Love, Wedding, Marriage",tt1436559,2011-06-03,"{'Budget': '$12,000,000 (estimated)', 'Opening Weekend United States': '$1,378, 05 Jun 2011'}",12000000,12000000,1378,1378,515823
44895,1200000,1404,Poor White Trash,tt0204350,2000-06-16,"{'Budget': '$1,200,000 (estimated)', 'Opening Weekend United States': '$1,813, 03 Dec 2000'}",1200000,1200000,1813,1404,
146578,20000000,1469,The Package,tt1884457,2013-02-09,"{'Opening Weekend United States': '$1,095, 17 Feb 2013'}",20000000,20000000,1095,1469,1469
81048,130000,1596,Running Time,tt0120042,1997-12-18,"{'Budget': '$130,000 (estimated)'}",130000,130000,1596,1596,
136311,20000000,1910,American Strays,tt0115531,1996-09-12,None,20000000,20000000,1910,1910,1910
138222,1500000,1938,Best Man Down,tt1885300,2012-10-20,"{'Budget': '$1,500,000 (estimated)', 'Opening Weekend United States': '$60, 15 Nov 2013'}",1500000,1500000,60,1938,1938
214735,20000000,2303,Men Cry Bullets,tt0148462,1998-10-08,"{'Opening Weekend United States': '$1,666, 10 Oct 1999'}",20000000,20000000,1666,2303,2303
278632,20000000,2710,Julia,tt2582426,2014-10-14,None,20000000,20000000,2710,2710,2710
267806,20000000,2756,V/H/S: Viral,tt3704538,2014-10-23,"{'Opening Weekend United States': '$1,221, 21 Nov 2014'}",20000000,20000000,1221,2756,82409
35610,5000000,2970,Philadelphia Experiment II,tt0107819,1993-11-12,"{'Budget': '$5,000,000 (estimated)', 'Opening Weekend United States': '$1,926, 14 Nov 1993'}",5000000,5000000,1926,2970,2970
