id,imdb_id,budget_old_new,budget_scrape
37410,tt0122529,0.0,0
17661,tt0036872,0.0,0
11587,tt0099528,0.0,0
12101,tt0070723,0.0,0
17539,tt0137386,0.0,0
11164,tt0109520,0.0,0
24736,tt0106868,0.0,0
10122,tt0091059,0.0,9000000 
14013,tt0131857,0.0,25000000 
47908,tt0090203,0.0,0
35144,tt0089385,0.0,0
10340,tt0048280,0.0,4000000 
10437,tt0104940,0.0,12000000 
65158,tt0111271,0.0,19200000 
10419,tt0108265,0.0,0
6471,tt0079367,0.0,0
9442,tt0083798,0.0,9000000 
14367,tt0092513,0.0,7000000 
11814,tt0090305,0.0,7500000 
10380,tt0101329,0.0,0
11522,tt0091790,0.0,9000000 
11557,tt0090060,0.0,10000000 
37530,tt0093220,0.0,0
21661,tt0140796,0.0,0
31641,tt0118980,0.0,0
21873,tt0081207,0.0,0
2028,tt0098258,0.0,0
11597,tt0105629,0.0,43000000 
47947,tt0084938,0.0,0
14347,tt0086973,0.0,0
18169,tt0090583,0.0,8500000 
11082,tt0096073,0.0,0
72987,tt0120835,0.0,0
1890,tt0090830,0.0,10500000 
41817,tt0099750,0.0,0
13698,tt0091159,0.0,18000000 
10157,tt0089822,0.0,7600000 
12118,tt0091777,0.0,0
10587,tt0093756,0.0,0
11825,tt0095882,0.0,0
11895,tt0098105,0.0,12000000 
8879,tt0089767,0.0,6900000 
10328,tt0088933,0.0,17500000 
15596,tt0090685,0.0,11000000 
44326,tt0091024,0.0,0
10495,tt0097647,0.0,0
10344,tt0097368,0.0,0
25018,tt0099994,0.0,2000000 
12151,tt0091877,0.0,13000000 
25438,tt0092112,0.0,0
33278,tt0090917,0.0,0
9396,tt0092493,0.0,14000000 
18588,tt0090567,0.0,0
12715,tt0091055,0.0,8000000 
8769,tt0085333,0.0,9700000 
14742,tt0084412,0.0,0
31503,tt0107626,0.0,12000000 
27455,tt0166195,0.0,2000000 
114719,tt0143261,0.0,0
6396,tt0133189,0.0,0
18252,tt0089652,0.0,0
53862,tt0160298,0.0,3000000 
55912,tt0138590,0.0,0
11120,tt0091557,0.0,25000000 
48259,tt0090886,0.0,20000000 
26789,tt0091637,0.0,14000000 
31924,tt0091554,0.0,0
24081,tt0093051,0.0,0
66194,tt0092850,0.0,0
3526,tt0083967,0.0,0
10768,tt0082377,0.0,5000000 
2665,tt0083530,0.0,15000000 
11418,tt0089670,0.0,17000000 
850,tt0085334,0.0,3300000 
11963,tt0073802,0.0,20000000 
21719,tt0151582,0.0,0
42114,tt0086014,0.0,6000000 
35122,tt0127296,0.0,0
18086,tt0097390,0.0,7500000 
1049,tt0108185,0.0,0
12662,tt0091799,0.0,0
14412,tt0082089,0.0,0
16858,tt0078754,0.0,12000000 
14484,tt0172627,0.0,0
32043,tt0099710,0.0,0
98480,tt0138537,0.0,0
11510,tt0100475,0.0,0
11498,tt0101669,0.0,15000000 
29154,tt0094027,0.0,0
2039,tt0093565,0.0,15000000 
9647,tt0096061,0.0,32000000 
293,tt0105265,0.0,12000000 
11005,tt0099077,0.0,31000000 
34760,tt0090556,0.0,0
31582,tt0155711,0.0,15000000 
10411,tt0104114,0.0,50000000 
32331,tt0096171,0.0,0
36492,tt0066892,0.0,0
10236,tt0070903,0.0,0
11851,tt0095897,0.0,0
14040,tt0088707,0.0,0
2990,tt0100318,0.0,18000000 
13005,tt0081748,0.0,0
10406,tt0104187,0.0,7000000 
14741,tt0076095,0.0,0
8873,tt0108525,0.0,40000000 
11068,tt0105415,0.0,0
10158,tt0105812,0.0,0
9876,tt0105477,0.0,45000000 
10326,tt0104291,0.0,0
16562,tt0104040,0.0,0
9609,tt0105046,0.0,0
14839,tt0077248,0.0,1700000 
2193,tt0085980,0.0,0
20423,tt0097372,0.0,0
8989,tt0093148,0.0,10000000 
26827,tt0094321,0.0,17000000 
11176,tt0079588,0.0,0
18890,tt0108526,0.0,0
2383,tt0095800,0.0,0
17443,tt0078718,0.0,0
26170,tt0062824,0.0,1500000 
12187,tt0107091,0.0,25000000 
17529,tt0065126,0.0,0
40841,tt0105267,0.0,0
41659,tt0107630,0.0,15000000 
29786,tt0079640,0.0,0
11356,tt0063374,0.0,1200000 
1552,tt0098067,0.0,20000000 
5241,tt0096324,0.0,0
1058,tt0085276,0.0,7500000 
13105,tt0085970,0.0,0
2094,tt0058534,0.0,0
10648,tt0070355,0.0,0
2075,tt0089841,0.0,0
11428,tt0105428,0.0,15000000 
25562,tt0102951,0.0,25000000 
10264,tt0099726,0.0,0
29204,tt0082009,0.0,1500000 
21128,tt0102592,0.0,0
28774,tt0097100,0.0,5000000 
9873,tt0089118,0.0,10000000 
14864,tt0099797,0.0,13000000 
27352,tt0094792,0.0,0
8348,tt0072288,0.0,2200000 
24099,tt0087175,0.0,0
17897,tt0071569,0.0,982351 
11856,tt0099005,0.0,35000000 
10860,tt0098384,0.0,15000000 
201581,tt0120593,0.0,0
18168,tt0199314,0.0,0
11694,tt0059017,0.0,0
46119,tt0197384,0.0,0
27665,tt0188694,0.0,0
10973,tt0046876,0.0,0
20721,tt0088936,0.0,7000000 
2609,tt0093748,0.0,30000000 
5001,tt0247196,0.0,0
26719,tt0093223,0.0,0
2623,tt0084434,0.0,7500000 
10655,tt0107007,0.0,25000000 
17474,tt0102388,0.0,0
2613,tt0105165,0.0,0
26333,tt0108451,0.0,7500000 
4639,tt0092641,0.0,0
67307,tt0092656,0.0,0
70199,tt0092842,0.0,0
24826,tt0092897,0.0,0
17159,tt0092948,0.0,0
28368,tt0093073,0.0,0
48149,tt0093104,0.0,0
14464,tt0093215,0.0,0
65501,tt0093225,0.0,0
32227,tt0093231,0.0,0
2614,tt0093260,0.0,27000000 
24828,tt0093405,0.0,24000000 
36914,tt0093418,0.0,10500000 
2608,tt0093476,0.0,3000000 
22915,tt0093648,0.0,0
17203,tt0212380,0.0,0
29492,tt0091836,0.0,0
35976,tt0077504,0.0,3000000 
31004,tt0097880,0.0,0
38718,tt0100486,0.0,0
11607,tt0097179,0.0,8000000 
16889,tt0093857,0.0,0
3784,tt0101912,0.0,29000000 
40842,tt0079638,0.0,0
19357,tt0090098,0.0,0
19094,tt0204640,0.0,0
26255,tt0102343,0.0,0
301,tt0053221,0.0,0
12623,tt0094082,0.0,0
15497,tt0041996,0.0,0
21056,tt0212815,0.0,0
9967,tt0086508,0.0,14500000 
15564,tt0226648,0.0,7000000 
11950,tt0087032,0.0,20000000 
12236,tt0098369,0.0,18000000 
11300,tt0091983,0.0,0
20197,tt0084788,0.0,7000000 
43316,tt0047811,0.0,0
9517,tt0242193,0.0,0
24977,tt0245280,0.0,0
47817,tt0094594,0.0,0
26044,tt0094678,0.0,0
14911,tt0094712,0.0,0
15592,tt0094715,0.0,20000000 
30502,tt0094744,0.0,0
34604,tt0094846,0.0,0
14441,tt0094884,0.0,0
27397,tt0094921,0.0,4000000 
9748,tt0094933,0.0,0
10141,tt0095031,0.0,0
5680,tt0095088,0.0,7500000 
25884,tt0095145,0.0,0
26355,tt0095169,0.0,0
21362,tt0095304,0.0,17000000 
47818,tt0095736,0.0,0
3543,tt0095801,0.0,0
58434,tt0096003,0.0,3000000 
18197,tt0096018,0.0,7000000 
70842,tt0096029,0.0,0
38909,tt0096030,0.0,0
9717,tt0096098,0.0,15000000 
11966,tt0096101,0.0,15000000 
2605,tt0091949,0.0,15000000 
25497,tt0096180,0.0,4000000 
50203,tt0096200,0.0,9000000 
29095,tt0096426,0.0,3000000 
32049,tt0106393,0.0,7000000 
22711,tt0096943,0.0,22000000 
19124,tt0096945,0.0,10000000 
4925,tt0097166,0.0,14500000 
14550,tt0097235,0.0,15000000 
21721,tt0085475,0.0,0
116014,tt0097276,0.0,9500000 
10551,tt0097328,0.0,0
1380,tt0097438,0.0,10000000 
29185,tt0097579,0.0,0
33379,tt0203540,0.0,GBP1365000 
19142,tt0098193,0.0,4000000 
24254,tt0098230,0.0,10000000 
47045,tt0098308,0.0,0
31083,tt0098356,0.0,0
30666,tt0098385,0.0,1500000 
16560,tt0098442,0.0,0
6951,tt0098536,0.0,13000000 
12584,tt0075213,0.0,0
17169,tt0080377,0.0,15000000 
21055,tt0250202,0.0,0
37920,tt0221799,0.0,0
22230,tt0208196,0.0,0
15104,tt0255653,0.0,0
11065,tt0184791,0.0,5000000 
21118,tt0219400,0.0,0
32567,tt0264578,0.0,0
9660,tt0053143,0.0,0
