"","rho.runtime","rho.title_length","rho.log_budget_final","rho.actor_logrev_of_past_2_years_0","rho.actor_logrev_of_past_2_years_1","rho.actor_logrev_of_past_2_years_2","rho.actor_logrev_of_past_2_years_3","rho.actor_logrev_of_past_2_years_4","rho.actor_logrev_of_past_5_years_0","rho.actor_logrev_of_past_5_years_1","rho.actor_logrev_of_past_5_years_2","rho.actor_logrev_of_past_5_years_3","rho.actor_logrev_of_past_5_years_4","rho.actor_logrev_of_past_10_years_0","rho.actor_logrev_of_past_10_years_1","rho.actor_logrev_of_past_10_years_2","rho.actor_logrev_of_past_10_years_3","rho.actor_logrev_of_past_10_years_4","rho.director_logrev_of_past_2_years_0","rho.director_logrev_of_past_5_years_0","rho.director_logrev_of_past_10_years_0","rho.gender_score","rho.has_oscar_winner","rho.popular_genre","rho.first_in_collection","rho.sequel","rho.major","rho.minor","rho.medium","rho.Action","rho.Adventure","rho.Animation","rho.Comedy","rho.Crime","rho.Documentary","rho.Drama","rho.Family","rho.Fantasy","rho.Foreign","rho.History","rho.Horror","rho.Music","rho.Mystery","rho.Romance","rho.Science.Fiction","rho.TV.Movie","rho.Thriller","rho.War","rho.Western","rho.actor_is_top_100_of_past_2_years_0","rho.actor_is_top_100_of_past_2_years_1","rho.actor_is_top_100_of_past_2_years_2","rho.actor_is_top_100_of_past_2_years_3","rho.actor_is_top_100_of_past_2_years_4","rho.actor_is_top_100_of_past_5_years_0","rho.actor_is_top_100_of_past_5_years_1","rho.actor_is_top_100_of_past_5_years_2","rho.actor_is_top_100_of_past_5_years_3","rho.actor_is_top_100_of_past_5_years_4","rho.actor_is_top_100_of_past_10_years_0","rho.actor_is_top_100_of_past_10_years_1","rho.actor_is_top_100_of_past_10_years_2","rho.actor_is_top_100_of_past_10_years_3","rho.actor_is_top_100_of_past_10_years_4","rho.director_is_top_50_of_past_2_years_0","rho.director_is_top_50_of_past_5_years_0","rho.director_is_top_50_of_past_10_years_0"
"actor_logrev_of_past_5_years_2",0.162430653775152,-0.0146592515756936,0.260169515111148,0.220763592895159,0.267118176703608,0.683320802019475,0.1918729659317,0.150870015127741,0.246105689429793,0.292887587840031,1,0.272844221988221,0.218862283072463,0.23940328441294,0.28601053773603,0.865192866269161,0.271425270650953,0.236540356224096,0.0881335099635547,0.110796259283209,0.126877346493055,0.0119488556286934,0.227702443353856,0.0450892167200833,-0.0573237634938462,0.150278626238624,0.115561950502094,-0.113797037988489,0.0675585400183908,0.0844031983183114,0.138300268522007,0.0280508263714698,0.00136739940996901,0.102526671621049,-0.45989240734378,0.0285470144744657,0.00168622749262482,0.0720988828227575,-0.434548974958445,0.0546242084634404,-0.0900747918488321,-0.0792641741911358,0.0877651087426442,-0.0118720302125022,0.00888508517713791,-0.197609273035846,0.0619401588819606,0.0175585315227876,0.110777579797893,0.173853525366261,0.180269062665768,0.445324142898082,0.142290831993252,0.109204281912312,0.177039793826258,0.205279131782275,0.462693519986276,0.151719936399544,0.127060509740544,0.184534126738121,0.218359260103554,0.442071869289555,0.16916003112398,0.143373622974187,0.0958368142484124,0.120838347382636,0.132213570736191
"actor_logrev_of_past_5_years_3",0.164743678991865,0.00707959312818284,0.272280838674445,0.226876638484065,0.237158024817349,0.219727450576458,0.653095542259554,0.247625320737861,0.213455815087936,0.226690841190288,0.272844221988221,1,0.302399682240175,0.209356493323752,0.210625255476284,0.262160944300873,0.842973743767358,0.275579533865559,0.0922593929867857,0.125792290546649,0.114903578716721,0.00913795313220416,0.213157166449549,0.00336555184494548,-0.0428506024192309,0.111862828148735,0.111486412415172,-0.117470781227077,0.0676233497345371,0.0554063160626979,0.103846650739478,0.0970126700617398,0.0475359006482057,0.0377534995928576,-0.347376241219265,-0.00400666243454803,0.0772746813905833,0.0668818556947569,-0.339943106766232,0.0271247851136234,-0.194552865207402,-0.0749150611470998,0.0105462449614931,0.0245403147696394,0.0249401474080991,-0.117494569448649,0.00575888771573399,-0.0472805145397958,0.0269859647791972,0.210108521992607,0.215566476042809,0.257455928816986,0.466650276297002,0.2201250161877,0.243316160925993,0.245127501628773,0.261333478218193,0.534629792179711,0.29540262088014,0.247671506979993,0.21537038925403,0.258006729263733,0.502880853608348,0.291557645577253,0.13996863191398,0.182169956967017,0.195278142345621
"actor_logrev_of_past_5_years_4",0.147887297367663,0.0304060144064342,0.230044359485171,0.140942278061186,0.182330782614462,0.205054083173061,0.25852807818519,0.648404179436543,0.164849366368868,0.168555932622738,0.218862283072463,0.302399682240175,1,0.155670388115745,0.148715398652559,0.179805443619919,0.249037001693339,0.788839063385409,0.0996689201481748,0.104805454253264,0.109631427427537,0.000240273435849805,0.181247525071938,0.0378619792005185,-0.0104055962693308,0.0660943171926668,0.11319612935662,-0.12459403152802,0.0633276474709721,0.0957111666343651,0.141854906209484,0.120807645757691,0.0432553431624645,0.0648061105719782,-0.30707932679964,0.0226451980464117,0.0963109463428461,0.0550637048425081,-0.312324120809001,0.0799330282254367,-0.148058003974738,-0.0608117085458452,0.00385648089116526,-0.0284544725508652,0.0499364492203533,-0.0837610882074181,0.0520419357378432,0.0342583376419615,-0.0570558187733554,0.123803375244456,0.184272407813128,0.145771204136696,0.161621544472914,0.58791539404494,0.16643943350947,0.184861897288125,0.169787739690307,0.192925970427576,0.573180359173913,0.153348206236302,0.157126711489624,0.153515166699775,0.217778792631797,0.563352746220541,0.111638551185074,0.174695645172704,0.134672387341571
"actor_logrev_of_past_10_years_0",0.187383536508617,-0.000250412943201642,0.366994872618649,0.650331731601863,0.275900942445329,0.18954046136765,0.146852286164182,0.11774376768389,0.87191691342365,0.293662438487878,0.23940328441294,0.209356493323752,0.155670388115745,1,0.317508970002089,0.229668660031526,0.229353097500005,0.195337672993789,0.126721021717721,0.168358466727576,0.197766277391092,0.0120151813396113,0.246057084062938,0.0831549098777355,-0.103716754253449,0.146031411177872,0.152874085268188,-0.167850485077287,0.0967222810440559,0.0990460614264438,0.0853310018676081,-0.0608323292312709,0.0448134912130566,0.126963669612843,-0.642425799537081,0.0463466365759029,-0.0252098392657979,0.0189080085101175,-0.5387569848859,0.113704174825496,-0.109439458167306,-0.0658401959957437,0.0854132846634896,0.0133979461570662,0.038032443220592,-0.532777516369551,0.109174859915632,0.0717844503181836,0.133268143336683,0.306265010423766,0.210264869869614,0.136326468815084,0.153955507095043,0.116678653206264,0.374867454726093,0.212805827365956,0.149816117839142,0.13009320139189,0.0911516698731506,0.390195989150699,0.224608442456948,0.138584328378627,0.0969394342668141,0.0711087363117767,0.104840399613378,0.173292332554618,0.171427632667128
"actor_logrev_of_past_10_years_1",0.156092298226735,-0.00852343665967681,0.313223817602533,0.277757974852026,0.636784737056331,0.231004813458622,0.14915193791711,0.121290522214665,0.309119224672435,0.867367571229677,0.28601053773603,0.210625255476284,0.148715398652559,0.317508970002089,1,0.288365243372998,0.235884842410735,0.191048813101738,0.0949693313828144,0.137117892343052,0.130837519572542,0.00746214570511534,0.2580841029779,0.0310741965270381,-0.0370768639596992,0.143515205914875,0.115977126088364,-0.147979388604478,0.092580345847389,0.109193018366009,0.148839697476194,0.0555173468159678,0.0532632951441523,0.0881820532271021,-0.511397209275417,-0.000227063023148633,0.00498967120672419,0.0917020368221788,-0.445748438642796,-0.0192716601381572,-0.0958025867343962,-0.140048069123238,0.0562925635654726,-0.00685914395204124,0.0207778538832676,-0.0938286119965958,0.0491521243202299,-0.000379761775405673,0.112517633980005,0.181726875385384,0.385491109646961,0.143852455639938,0.0983220757884681,0.143617092393603,0.222076326100166,0.405241289334034,0.177294023452218,0.103949282905625,0.114404861783457,0.221716320998839,0.388845669523429,0.153499965066992,0.0975130772544595,0.0478208588173137,0.083651456598313,0.128050019914681,0.14014274932312
"actor_logrev_of_past_10_years_2",0.132682832293626,-0.0128197166516868,0.241016012838059,0.213568933167964,0.244172453270283,0.613649721635847,0.187728375312079,0.127217880138327,0.229852490112868,0.2828587400196,0.865192866269161,0.262160944300873,0.179805443619919,0.229668660031526,0.288365243372998,1,0.28728462736116,0.228115806609093,0.0773856142749003,0.112963293325248,0.128411896275114,0.0112118705483741,0.220927739976871,0.0356316120130571,-0.0409799688289754,0.145037210351303,0.116546984963707,-0.119753759852133,0.0708047422090583,0.0761881586343176,0.136671581803103,0.0386774081377836,0.00660962945028035,0.08979490844095,-0.482045634081198,0.0223355651383105,0.0231454616001081,0.0599946601405361,-0.491301464386293,0.0581207231848315,-0.0712427296622768,-0.0749376065844734,0.0787280035595769,-0.0151086392736662,0.00115384126652683,-0.360055054654864,0.0635668889319819,0.0371596220120339,0.13353083165299,0.139443676156814,0.148373370284716,0.397591150083182,0.130887525556512,0.0741168070246741,0.142482688148505,0.179159414983704,0.408838079058772,0.132826348814541,0.0723495759010453,0.155225836966796,0.204259046584839,0.394509219996566,0.147185651608507,0.115866553173754,0.0707089636273421,0.0844738341494461,0.0981597816105866
"actor_logrev_of_past_10_years_3",0.161908153054651,-0.00479246912404168,0.264083035535556,0.220672488444394,0.240576727642034,0.218141274683509,0.566821080805049,0.2170656045741,0.225709722035293,0.23353432761195,0.271425270650953,0.842973743767358,0.249037001693339,0.229353097500005,0.235884842410735,0.28728462736116,1,0.286588931452793,0.0987469302575745,0.144883069248107,0.139173247712888,0.00779058651816638,0.205078846170322,-0.0103835145953943,-0.00929475717962515,0.116122867460806,0.101400055110365,-0.117387849719812,0.0823913325683559,0.0754144675970449,0.119929987044372,0.0881168084567628,0.0444728450721389,0.0529166864543304,-0.416472339257503,-0.0161116750367233,0.0718538084330595,0.0814405411554689,-0.421791017725244,0.0317147570914702,-0.146287325137951,-0.0697456670496387,0.0268749317711664,0.0138301484683365,0.0465996050665041,-0.299347907252724,0.0206740644889322,-0.0271514203323654,0.045547219697779,0.144299239813523,0.170762353706199,0.234720131972728,0.395782344977144,0.200002189484152,0.158138227964364,0.190407273719857,0.235988353457124,0.459222155356842,0.240283344529301,0.16175253462743,0.195272582592045,0.216019964691058,0.429223180780707,0.263445002413801,0.0834181326137012,0.119428114227492,0.140884736344285
"actor_logrev_of_past_10_years_4",0.145923149799169,0.0187203738607924,0.257807436650013,0.174309251059125,0.1891744474646,0.232196966215574,0.246789207120634,0.551729612399191,0.190401912653137,0.180748408858584,0.236540356224096,0.275579533865559,0.788839063385409,0.195337672993789,0.191048813101738,0.228115806609093,0.286588931452793,1,0.0947370123151786,0.123770066196613,0.128532979604002,0.00465516415691847,0.182808777840392,0.017902356056517,-0.00390958280899086,0.083285530221117,0.104624411603051,-0.123376013750666,0.0755711448923071,0.0828575937634895,0.151806666727638,0.145965778913707,0.0648160464032186,0.0367618323225565,-0.325057254150682,0.0122073019921373,0.126627899350117,0.0612412978753219,-0.338609900347864,0.0539429112401524,-0.146490533423485,-0.0821006569597087,0.0206918718183894,-0.0171279831433511,0.0362284035553914,-0.225937116379855,0.038425760822079,0.00159962984089716,-0.0581390534498687,0.172741255702414,0.191844091853228,0.184710893186976,0.203413336617094,0.54315091872316,0.210536096257553,0.211541130558501,0.19868388638102,0.211214030672539,0.530184860152493,0.186496239702847,0.183337003982973,0.164349273518361,0.221829781092881,0.525236013496303,0.120356273544745,0.187131651176614,0.162136823016819
"director_logrev_of_past_2_years_0",0.11697794983648,-0.00187578902927872,0.213192246049203,0.13860902196329,0.122141760956258,0.103933123543571,0.0829381285654538,0.0980077863158195,0.137141420686788,0.109070987794437,0.0881335099635547,0.0922593929867857,0.0996689201481748,0.126721021717721,0.0949693313828144,0.0773856142749003,0.0987469302575745,0.0947370123151786,1,0.594852372096198,0.485265469993534,-0.00478290016322895,0.0577855691791226,-0.00787140213996522,0.0104508014761969,0.105999789582763,0.0839531270495847,-0.098314177662972,0.0520846458334123,0.0688616508746745,0.13726155679296,-0.0140799728397278,0.00591965335830453,0.0093064206025487,-0.17703515775253,-0.0232757584111433,0.0793201088315949,0.134100689208473,-0.470607976731335,0.0713520391401009,-0.0591650403833766,-0.0288189699851637,0.0298567262872347,0.00942758971758813,0.0738035742248516,-0.0179791255008974,0.00980836094562769,0.147306509535942,0.120990354316135,0.0975597549259147,0.0929790043793645,0.112773026208826,0.0831457492710991,0.0726458266855565,0.101798261893241,0.0916384693782629,0.0974758193404633,0.0716937220886378,-0.0330454309844606,0.113916084659164,0.0811580987154742,0.125643564296826,0.0196648506339789,0.0337037360799772,0.40549461570528,0.419469857157457,0.347655380746712
"director_logrev_of_past_5_years_0",0.133555216311004,0.00890417324124652,0.296452768894735,0.155424507791424,0.145773791492751,0.0945733092087557,0.106349622902794,0.0945701081265708,0.175996298942962,0.13334452343022,0.110796259283209,0.125792290546649,0.104805454253264,0.168358466727576,0.137117892343052,0.112963293325248,0.144883069248107,0.123770066196613,0.594852372096198,1,0.794523775113893,-0.00799279420913558,0.0838553490194294,-0.0698662818983265,0.0172598156874072,0.11885578906508,0.102862063385228,-0.110073928890954,0.039196701215795,0.0891109352478298,0.174473490953514,0.0982336935797878,0.0122546544626345,-0.0379488360027901,-0.132193288705902,-0.0762594792223632,0.111802075120317,0.148313983808164,-0.376750627171782,0.0817572149675904,-0.0503211356062591,-0.00118300094235028,-0.000293533091772752,0.00812259725444697,0.0816093585401534,0.0189379120812391,-0.0282609177201232,0.118385884928968,0.143016237815425,0.050128460643174,0.0474640274977983,0.054823011390213,0.0930249539098557,0.100907498657879,0.0400740103590997,0.0718019102725741,0.0353967515413957,0.054527189787981,0.0759666690092358,0.0729557739969071,0.0822805696149004,0.027425419647984,0.00764519322703286,0.030278163488273,0.163012863805606,0.270035558742262,0.262151902538976
